event,eventLabel,startDate,endDate
http://www.wikidata.org/entity/Q124811443,Dagestan Campaign,1918-05-01T00:00:00Z,1918-11-01T00:00:00Z
http://www.wikidata.org/entity/Q18586347,First Soviet-Finnish War,1918-05-15T00:00:00Z,1920-10-14T00:00:00Z
http://www.wikidata.org/entity/Q842774,Polish–Ukrainian War,1918-11-01T00:00:00Z,1919-07-17T00:00:00Z
http://www.wikidata.org/entity/Q252298,Hungarian–Romanian War,1918-11-01T00:00:00Z,1920-03-01T00:00:00Z
http://www.wikidata.org/entity/Q126959794,Anglo-Turkish War (1918–1923),1918-11-13T00:00:00Z,1923-07-24T00:00:00Z
http://www.wikidata.org/entity/Q12128040,Anti-Hetman Uprising,1918-11-16T00:00:00Z,1918-12-15T00:00:00Z
http://www.wikidata.org/entity/Q1127302,Estonian War of Independence,1918-11-28T00:00:00Z,1920-01-03T00:00:00Z
http://www.wikidata.org/entity/Q1747429,Hungarian-Czechoslovak-România  War,1918-12-01T00:00:00Z,1919-06-01T00:00:00Z
http://www.wikidata.org/entity/Q1604816,Lithuanian–Soviet War,1918-12-01T00:00:00Z,1919-08-01T00:00:00Z
http://www.wikidata.org/entity/Q2742886,Lithuanian Wars of Independence,1918-12-01T00:00:00Z,1919-08-01T00:00:00Z
http://www.wikidata.org/entity/Q1450532,Franco-Turkish War,1918-12-01T00:00:00Z,1921-10-01T00:00:00Z
http://www.wikidata.org/entity/Q1495944,Polish–Lithuanian War,1919-01-01T00:00:00Z,1920-01-01T00:00:00Z
http://www.wikidata.org/entity/Q208297,Irish War of Independence,1919-01-21T00:00:00Z,1921-07-11T00:00:00Z
http://www.wikidata.org/entity/Q208297,Irish War of Independence,1919-01-21T00:00:00Z,1921-07-11T00:00:00Z
http://www.wikidata.org/entity/Q1933729,Polish–Czechoslovak War,1919-01-23T00:00:00Z,1919-01-30T00:00:00Z
http://www.wikidata.org/entity/Q186284,Polish–Soviet War,1919-02-01T00:00:00Z,1921-03-01T00:00:00Z
http://www.wikidata.org/entity/Q124638953,Aras War,1919-05-01T00:00:00Z,1919-06-01T00:00:00Z
http://www.wikidata.org/entity/Q1259237,Third Anglo-Afghan War,1919-05-06T00:00:00Z,1919-08-08T00:00:00Z
http://www.wikidata.org/entity/Q87138,Greco-Turkish War,1919-05-15T00:00:00Z,1922-10-11T00:00:00Z
http://www.wikidata.org/entity/Q234738,Turkish War of Independence,1919-05-19T00:00:00Z,1923-07-24T00:00:00Z
http://www.wikidata.org/entity/Q234738,Turkish War of Independence,1919-05-19T00:00:00Z,1923-07-24T00:00:00Z
http://www.wikidata.org/entity/Q130272741,Lithuanian–Bermontian War,1919-07-01T00:00:00Z,1919-12-01T00:00:00Z
http://www.wikidata.org/entity/Q6086281,First Honduran Civil War,1919-07-23T00:00:00Z,1919-09-17T00:00:00Z
http://www.wikidata.org/entity/Q4560844,1920 Jabal al-Gharbi Civil War,1920-01-01T00:00:00Z,1922-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2992403,Franco-Syrian War,1920-03-08T00:00:00Z,1920-07-25T00:00:00Z
http://www.wikidata.org/entity/Q957586,Turkish–Armenian War,1920-09-23T00:00:00Z,1920-12-02T00:00:00Z
http://www.wikidata.org/entity/Q5887735,Coto War,1921-02-21T00:00:00Z,1921-03-05T00:00:00Z
http://www.wikidata.org/entity/Q130417211,War over Mountainous Armenia,1921-04-26T00:00:00Z,1921-07-13T00:00:00Z
http://www.wikidata.org/entity/Q15927362,Zhili–Fengtian War,1922-04-28T00:00:00Z,1924-11-03T00:00:00Z
http://www.wikidata.org/entity/Q748042,Irish Civil War,1922-06-28T00:00:00Z,1923-05-24T00:00:00Z
http://www.wikidata.org/entity/Q3358934,Klaipėda Revolt,1923-01-10T00:00:00Z,1923-01-15T00:00:00Z
http://www.wikidata.org/entity/Q6123725,Second Honduran Civil War,1924-02-02T00:00:00Z,1924-05-01T00:00:00Z
http://www.wikidata.org/entity/Q8061347,Yunnan–Guangxi War,1925-03-18T00:00:00Z,1925-09-01T00:00:00Z
http://www.wikidata.org/entity/Q868962,Anti-Fengtian War,1925-11-01T00:00:00Z,1926-04-01T00:00:00Z
http://www.wikidata.org/entity/Q65065597,Urtatagai conflict,1925-11-27T00:00:00Z,1926-01-01T00:00:00Z
http://www.wikidata.org/entity/Q179975,Chinese Civil War,1927-08-01T00:00:00Z,1950-05-01T00:00:00Z
http://www.wikidata.org/entity/Q42423510,The Ethiopian Northern Resistance of 1928–1930,1928-01-01T00:00:00Z,1930-04-01T00:00:00Z
http://www.wikidata.org/entity/Q10952572,Afghan Civil War (1928–1929),1928-11-14T00:00:00Z,1929-10-13T00:00:00Z
http://www.wikidata.org/entity/Q611027,Castellammarese War,1930-01-01T00:00:00Z,1931-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4222429,Sino–Tibetan War,1930-01-01T00:00:00Z,1932-01-01T00:00:00Z
http://www.wikidata.org/entity/Q717809,Central Plains War,1930-05-01T00:00:00Z,1930-11-04T00:00:00Z
http://www.wikidata.org/entity/Q6123727,Second Cristero War,1931-03-06T00:00:00Z,1941-02-25T00:00:00Z
http://www.wikidata.org/entity/Q17061807,Q17061807,1931-03-07T00:00:00Z,1931-06-07T00:00:00Z
http://www.wikidata.org/entity/Q22661138,Fifteen Years' War,1931-09-18T00:00:00Z,1945-01-01T00:00:00Z
http://www.wikidata.org/entity/Q696389,Soviet–Japanese border conflicts,1932-01-01T00:00:00Z,1939-01-01T00:00:00Z
http://www.wikidata.org/entity/Q18208081,Ecuadorian Civil War of 1932,1932-08-27T00:00:00Z,1932-09-01T00:00:00Z
http://www.wikidata.org/entity/Q1536533,Colombian-Peruvian War,1932-09-01T00:00:00Z,1933-06-25T00:00:00Z
http://www.wikidata.org/entity/Q223126,Chaco War,1932-09-09T00:00:00Z,1935-06-12T00:00:00Z
http://www.wikidata.org/entity/Q4211700,Actions in Inner Mongolia,1933-04-01T00:00:00Z,1936-12-01T00:00:00Z
http://www.wikidata.org/entity/Q306123,Austrian Civil War,1934-02-12T00:00:00Z,1934-02-16T00:00:00Z
http://www.wikidata.org/entity/Q1367731,Saudi–Yemeni War,1934-03-01T00:00:00Z,1934-05-20T00:00:00Z
http://www.wikidata.org/entity/Q94916,Second Italo-Ethiopian War,1935-10-03T00:00:00Z,1937-02-19T00:00:00Z
http://www.wikidata.org/entity/Q10859,Spanish Civil War,1936-07-18T00:00:00Z,1939-04-01T00:00:00Z
